"V1"	"V2"	"sample.id"	"spawning.season"	"cluster"	"cluster.jake"
-0.0235359470353729	0.000641361866141939	"Hastkar_446"	NA	"Spring-like"	1
-0.0226936399041432	0.00315332113799749	"Hastkar_447"	NA	"Spring-like"	1
-0.0249156974838758	-0.000493608123359297	"Hastkar_448"	NA	"Spring-like"	1
0.051426493029761	0.0237309364741533	"Hastkar_449"	NA	NA	1
0.0420640674216416	0.034091653118328	"Hastkar_450"	NA	"Intermediate"	1
-0.0208539701892763	0.000649055568695821	"Hastkar_451"	NA	"Spring-like"	NA
0.0225059085447689	-0.0331053237033616	"Hastkar_452"	NA	"Intermediate"	1
0.0597299078720702	0.0676050700435671	"Hastkar_453"	NA	NA	NA
0.0664574092819684	0.0449504915812862	"Hastkar_454"	NA	"Autumn-like"	2
0.0186486469476216	0.00881662297013051	"Hastkar_455"	NA	"Intermediate"	2
0.0517891869769605	0.0373621834085096	"Hastkar_456"	NA	NA	1
0.0869590068030204	0.0783135194362131	"Hastkar_457"	NA	"Autumn-like"	2
-0.0234469167044628	-0.00278190508931259	"Hastkar_501"	NA	"Spring-like"	NA
-0.0191312487131338	0.000793826894882404	"Hastkar_502"	NA	"Spring-like"	1
-0.0173159881587574	0.00272926631072299	"Hastkar_503"	NA	"Spring-like"	1
-0.0243699195741853	0.0028926364760952	"Hastkar_504"	NA	"Spring-like"	NA
-0.0206913323003338	0.00236749731149239	"Hastkar_505"	NA	"Spring-like"	1
-0.0108891284724234	0.00450305591967054	"Hastkar_506"	NA	"Spring-like"	NA
-0.0244548717631139	0.0017981936518364	"Hastkar_507"	NA	"Spring-like"	1
-0.00583526707681489	0.00791359629355059	"Hastkar_508"	NA	"Spring-like"	1
-0.0213228508213848	-0.00197215103836462	"Hastkar_509"	NA	"Spring-like"	NA
-0.0241671574492295	0.0130135584269259	"Hastkar_510"	NA	"Spring-like"	1
0.0869607636421261	0.0270843151341521	"Hastkar_511"	NA	"Autumn-like"	NA
-0.0196920315723483	-0.00113902754700021	"Hastkar_512"	NA	"Spring-like"	1
-0.0142089894868446	0.00337865603826925	"Hastkar_513"	NA	"Spring-like"	1
-0.0178168225336163	-0.000182292705532129	"Hastkar_514"	NA	"Spring-like"	1
0.0478804279750824	0.054554819652091	"Hastkar_515"	NA	NA	1
0.0392228976416295	-0.0595966185762522	"Hastkar_516"	NA	"Intermediate"	NA
-0.0198613428679217	-0.000293747274489901	"Hastkar_517"	NA	"Spring-like"	NA
